RUN	RecordedSimulationKakuro	recordedsimulationkakuro	1561534927909	 	3.1.2
REQUEST	82		kakuro	1561534929365	1561534931538	OK	 
REQUEST	90		kakuro	1561534929464	1561534931539	OK	 
REQUEST	98		kakuro	1561534929515	1561534931541	OK	 
REQUEST	114		kakuro	1561534929659	1561534931543	OK	 
USER	RecordedSimulationKakuro	295	START	1561534931561	1561534931561
USER	RecordedSimulationKakuro	296	START	1561534931562	1561534931562
USER	RecordedSimulationKakuro	297	START	1561534931562	1561534931562
USER	RecordedSimulationKakuro	298	START	1561534931563	1561534931563
USER	RecordedSimulationKakuro	299	START	1561534931564	1561534931564
USER	RecordedSimulationKakuro	300	START	1561534931564	1561534931564
USER	RecordedSimulationKakuro	301	START	1561534931565	1561534931565
USER	RecordedSimulationKakuro	302	START	1561534931567	1561534931567
USER	RecordedSimulationKakuro	306	START	1561534931567	1561534931567
USER	RecordedSimulationKakuro	307	START	1561534931567	1561534931567
USER	RecordedSimulationKakuro	308	START	1561534931567	1561534931567
USER	RecordedSimulationKakuro	309	START	1561534931567	1561534931567
USER	RecordedSimulationKakuro	303	START	1561534931571	1561534931571
USER	RecordedSimulationKakuro	304	START	1561534931573	1561534931573
USER	RecordedSimulationKakuro	305	START	1561534931573	1561534931573
REQUEST	104		kakuro	1561534929565	1561534930586	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: /0.0.0.0:8090
REQUEST	109		kakuro	1561534929613	1561534930640	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: /0.0.0.0:8090
REQUEST	111		kakuro	1561534929630	1561534930640	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: /0.0.0.0:8090
REQUEST	5		kakuro	1561534928584	1561534931585	OK	 
REQUEST	29		kakuro	1561534928798	1561534931586	OK	 
REQUEST	45		kakuro	1561534928964	1561534931588	OK	 
REQUEST	53		kakuro	1561534929048	1561534931589	OK	 
REQUEST	61		kakuro	1561534929126	1561534931590	OK	 
REQUEST	69		kakuro	1561534929204	1561534931591	OK	 
REQUEST	77		kakuro	1561534929288	1561534931591	OK	 
REQUEST	85		kakuro	1561534929425	1561534931592	OK	 
REQUEST	93		kakuro	1561534929469	1561534931593	OK	 
REQUEST	101		kakuro	1561534929543	1561534931594	OK	 
REQUEST	117		kakuro	1561534929683	1561534931595	OK	 
REQUEST	8		kakuro	1561534928587	1561534931607	OK	 
REQUEST	16		kakuro	1561534928660	1561534931609	OK	 
REQUEST	7		kakuro	1561534928586	1561534931610	OK	 
REQUEST	24		kakuro	1561534928736	1561534931610	OK	 
REQUEST	15		kakuro	1561534928643	1561534931611	OK	 
REQUEST	23		kakuro	1561534928721	1561534931611	OK	 
REQUEST	40		kakuro	1561534928914	1561534931612	OK	 
REQUEST	31		kakuro	1561534928814	1561534931612	OK	 
REQUEST	48		kakuro	1561534929001	1561534931613	OK	 
REQUEST	39		kakuro	1561534928907	1561534931613	OK	 
REQUEST	56		kakuro	1561534929079	1561534931614	OK	 
REQUEST	64		kakuro	1561534929157	1561534931615	OK	 
REQUEST	47		kakuro	1561534928985	1561534931615	OK	 
REQUEST	72		kakuro	1561534929235	1561534931615	OK	 
REQUEST	55		kakuro	1561534929063	1561534931616	OK	 
REQUEST	80		kakuro	1561534929361	1561534931616	OK	 
REQUEST	88		kakuro	1561534929443	1561534931617	OK	 
REQUEST	96		kakuro	1561534929504	1561534931618	OK	 
REQUEST	63		kakuro	1561534929142	1561534931617	OK	 
REQUEST	71		kakuro	1561534929221	1561534931629	OK	 
REQUEST	79		kakuro	1561534929302	1561534931630	OK	 
REQUEST	103		kakuro	1561534929548	1561534931631	OK	 
REQUEST	110		kakuro	1561534929614	1561534930641	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: /0.0.0.0:8090
USER	RecordedSimulationKakuro	311	START	1561534931648	1561534931648
USER	RecordedSimulationKakuro	310	START	1561534931648	1561534931648
USER	RecordedSimulationKakuro	312	START	1561534931650	1561534931650
USER	RecordedSimulationKakuro	314	START	1561534931651	1561534931651
USER	RecordedSimulationKakuro	313	START	1561534931651	1561534931651
USER	RecordedSimulationKakuro	316	START	1561534931652	1561534931652
USER	RecordedSimulationKakuro	315	START	1561534931652	1561534931652
USER	RecordedSimulationKakuro	317	START	1561534931662	1561534931662
REQUEST	108		kakuro	1561534929610	1561534930751	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: /0.0.0.0:8090
USER	RecordedSimulationKakuro	318	START	1561534931675	1561534931675
REQUEST	151		kakuro	1561534930032	1561534931639	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: /0.0.0.0:8090
REQUEST	211		kakuro	1561534930609	1561534931643	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: /0.0.0.0:8090
REQUEST	38		kakuro	1561534928892	1561534931680	OK	 
REQUEST	149		kakuro	1561534930030	1561534931598	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: /0.0.0.0:8090
REQUEST	46		kakuro	1561534928971	1561534931681	OK	 
REQUEST	54		kakuro	1561534929051	1561534931682	OK	 
REQUEST	62		kakuro	1561534929141	1561534931683	OK	 
REQUEST	28		kakuro	1561534928782	1561534931684	OK	 
REQUEST	52		kakuro	1561534929032	1561534931684	OK	 
